draw_no,draw_date,n1,n2,n3,n4,n5,n6,additional
3599,2020-10-12,1,10,14,40,41,48,30
3600,2020-10-15,14,27,28,31,46,48,7
3601,2020-10-19,9,10,11,13,20,25,15
3602,2020-10-22,11,25,28,30,34,36,24
3603,2020-10-26,2,8,11,19,41,49,27
3604,2020-10-29,10,12,27,37,39,46,13
3605,2020-11-02,3,36,37,44,48,49,35
3606,2020-11-05,3,19,25,33,40,44,37
3607,2020-11-09,8,12,13,30,37,46,36
3608,2020-11-12,9,11,14,22,26,35,20
3609,2020-11-16,1,2,20,27,36,44,17
3610,2020-11-19,3,12,22,23,34,42,49
3611,2020-11-23,1,7,11,22,30,45,48
3612,2020-11-26,2,5,8,27,35,48,29
3613,2020-11-30,2,3,25,33,35,49,10
3614,2020-12-03,1,7,8,11,36,40,31
3615,2020-12-07,7,13,14,33,37,48,24
3616,2020-12-10,10,17,22,23,27,33,34
3617,2020-12-14,6,21,29,45,47,48,15
3618,2020-12-17,5,8,27,33,35,41,30
3619,2020-12-21,4,8,15,31,36,39,47
3620,2020-12-24,5,11,19,21,22,37,26
3621,2020-12-28,32,34,40,45,46,47,25
3622,2021-01-01,5,8,13,16,35,47,2
3623,2021-01-04,4,5,8,12,27,42,14
3624,2021-01-07,1,7,9,12,32,36,17
3625,2021-01-11,3,5,8,19,26,47,41
3626,2021-01-14,12,21,23,25,32,44,42
3627,2021-01-18,2,12,23,33,35,37,43
3628,2021-01-21,8,11,15,17,19,35,45
3629,2021-01-25,8,9,12,17,33,39,48
3630,2021-01-28,6,16,25,32,35,37,22
3631,2021-02-01,4,6,9,18,27,39,33
3632,2021-02-05,8,9,11,24,26,47,34
3633,2021-02-08,9,10,25,27,34,42,29
3634,2021-02-11,10,23,25,28,46,49,36
3635,2021-02-15,9,13,18,20,34,40,36
3636,2021-02-18,1,4,6,15,40,44,37
3637,2021-02-22,3,6,8,11,36,48,1
3638,2021-02-26,21,24,40,42,44,48,1
3639,2021-03-01,5,6,7,13,25,37,30
3640,2021-03-04,11,12,20,28,30,38,27
3641,2021-03-08,8,13,17,27,33,40,38
3642,2021-03-11,12,19,26,41,46,47,35
3643,2021-03-15,12,15,19,28,35,43,44
3644,2021-03-18,2,5,12,24,25,29,3
3645,2021-03-22,2,12,20,35,37,44,17
3646,2021-03-25,4,16,17,20,22,44,38
3647,2021-03-29,14,15,20,23,30,35,39
3648,2021-04-01,10,11,15,21,29,44,26
3649,2021-04-05,9,11,15,17,25,40,5
3650,2021-04-08,7,8,9,14,28,35,4
3651,2021-04-12,4,23,27,43,48,49,47
3652,2021-04-15,10,14,23,25,35,46,39
3653,2021-04-19,8,10,16,17,20,43,32
3654,2021-04-22,3,17,22,32,38,48,41
3655,2021-04-26,2,15,18,36,42,49,26
3656,2021-04-29,2,19,22,29,36,43,5
3657,2021-05-03,15,17,18,35,41,42,3
3658,2021-05-06,4,6,12,20,31,35,47
3659,2021-05-10,6,18,32,33,34,45,8
3660,2021-05-13,2,4,5,16,39,47,24
3661,2021-05-17,5,6,11,36,41,46,8
3662,2021-05-20,7,12,18,29,32,37,44
3663,2021-05-24,11,18,23,31,32,33,49
3664,2021-05-27,3,7,9,24,36,38,43
3665,2021-05-31,14,15,18,19,30,44,6
3666,2021-06-03,1,7,21,26,30,39,40
3667,2021-06-07,7,14,23,31,39,41,33
3668,2021-06-10,1,9,15,22,24,42,10
3669,2021-06-14,5,16,23,24,28,45,40
3670,2021-06-17,5,12,15,30,38,43,33
3671,2021-06-21,7,8,10,14,17,28,45
3672,2021-06-24,1,12,17,21,24,44,23
3673,2021-06-28,14,31,32,33,38,47,45
3674,2021-07-01,4,5,9,17,31,34,8
3675,2021-07-05,8,14,20,28,29,36,18
3676,2021-07-08,7,9,15,20,23,40,2
3677,2021-07-12,18,19,23,24,38,45,27
3678,2021-07-15,3,5,9,14,23,26,20
3679,2021-07-19,4,10,21,33,42,44,19
3680,2021-07-22,1,21,26,38,44,45,17
3681,2021-07-26,3,8,30,34,39,46,44
3682,2021-07-29,1,7,22,33,40,48,10
3683,2021-08-02,12,16,23,26,33,44,10
3684,2021-08-05,3,17,19,23,32,38,7
3685,2021-08-09,15,24,33,34,36,40,18
3686,2021-08-12,2,20,25,29,32,49,36
3687,2021-08-16,10,21,28,31,37,38,6
3688,2021-08-19,1,3,9,39,40,47,29
3689,2021-08-23,5,17,26,27,31,48,4
3690,2021-08-26,5,18,24,37,38,49,35
3691,2021-08-30,19,23,24,27,36,37,17
3692,2021-09-02,3,4,6,10,19,42,34
3693,2021-09-06,1,15,31,32,33,44,20
3694,2021-09-09,5,19,30,33,37,42,38
3695,2021-09-13,6,25,26,41,42,44,37
3696,2021-09-16,9,10,15,30,38,48,2
3697,2021-09-20,3,6,10,16,33,49,1
3698,2021-09-23,9,35,41,42,43,44,29
3699,2021-09-27,20,28,33,38,40,44,49
3700,2021-09-30,5,8,14,26,30,44,47
3701,2021-10-04,10,14,28,30,35,40,6
3702,2021-10-07,1,27,28,39,40,49,33
3703,2021-10-11,10,26,27,36,37,43,42
3704,2021-10-14,10,15,16,24,45,47,19
3705,2021-10-18,5,23,24,27,44,49,26
3706,2021-10-21,7,22,23,25,42,43,18
3707,2021-10-25,4,18,24,40,43,47,48
3708,2021-10-28,3,20,27,34,35,46,37
3709,2021-11-01,7,15,22,24,26,37,9
3710,2021-11-04,7,18,22,36,44,45,30
3711,2021-11-08,7,8,20,31,35,41,3
3712,2021-11-11,5,7,12,35,48,49,2
3713,2021-11-15,23,27,31,34,43,48,1
3714,2021-11-18,1,10,39,43,45,48,14
3715,2021-11-22,1,3,16,20,35,41,5
3716,2021-11-25,6,20,27,32,40,44,4
3717,2021-11-29,1,7,12,26,28,32,21
3718,2021-12-02,6,12,22,23,40,49,25
3719,2021-12-06,7,16,33,37,42,43,48
3720,2021-12-09,1,17,30,31,42,43,46
3721,2021-12-13,5,18,19,23,40,49,20
3722,2021-12-16,6,26,27,37,40,43,49
3723,2021-12-20,4,5,16,18,24,34,27
3724,2021-12-23,1,21,35,39,44,45,42
3725,2021-12-27,3,9,13,23,24,44,7
3726,2021-12-30,4,7,12,13,21,35,29
3727,2022-01-03,6,12,20,33,46,47,49
3728,2022-01-07,3,8,11,20,44,49,32
3729,2022-01-10,8,11,17,21,30,44,48
3730,2022-01-13,3,6,18,20,26,35,34
3731,2022-01-17,4,13,26,31,33,35,29
3732,2022-01-21,2,4,11,13,28,38,49
3733,2022-01-24,1,8,10,31,32,38,39
3734,2022-01-27,7,21,27,30,32,34,39
3735,2022-01-31,5,6,10,22,23,40,38
3736,2022-02-03,15,28,31,32,44,49,18
3737,2022-02-07,1,11,17,28,32,35,44
3738,2022-02-11,9,13,14,16,18,28,10
3739,2022-02-14,10,23,29,33,37,43,8
3740,2022-02-17,1,4,19,35,37,45,49
3741,2022-02-21,1,19,22,27,37,44,25
3742,2022-02-24,4,11,15,25,41,48,14
3743,2022-02-28,1,9,20,27,37,49,33
3744,2022-03-03,8,13,24,30,40,44,45
3745,2022-03-07,19,22,24,28,29,42,40
3746,2022-03-10,1,8,25,32,45,46,44
3747,2022-03-14,19,37,38,45,47,49,25
3748,2022-03-17,5,7,30,42,47,49,17
3749,2022-03-21,1,20,22,23,24,31,2
3750,2022-03-24,3,12,15,22,34,45,2
3751,2022-03-28,5,9,10,12,39,44,14
3752,2022-03-31,1,4,10,22,24,45,47
3753,2022-04-04,14,15,28,31,40,42,44
3754,2022-04-07,1,7,10,28,31,44,9
3755,2022-04-11,2,12,18,27,36,49,6
3756,2022-04-14,4,6,23,26,29,30,36
3757,2022-04-18,12,20,33,39,42,48,49
3758,2022-04-21,13,16,19,32,38,43,20
3759,2022-04-25,6,16,26,32,39,47,23
3760,2022-04-28,5,6,11,16,22,37,44
3761,2022-05-02,12,14,23,32,35,38,13
3762,2022-05-05,7,13,35,39,41,45,1
3763,2022-05-09,5,12,15,21,30,39,6
3764,2022-05-12,15,20,36,38,41,46,10
3765,2022-05-16,21,22,40,41,42,46,9
3766,2022-05-19,5,8,13,20,21,46,31
3767,2022-05-23,7,10,16,21,27,35,22
3768,2022-05-26,6,11,30,34,43,45,2
3769,2022-05-30,8,13,19,34,37,47,29
3770,2022-06-02,12,19,26,28,46,49,41
3771,2022-06-06,12,28,29,34,41,47,16
3772,2022-06-09,7,14,15,16,17,38,44
3773,2022-06-13,3,5,12,16,30,45,49
3774,2022-06-16,2,7,16,18,24,45,36
3775,2022-06-20,20,25,28,33,40,49,1
3776,2022-06-23,24,27,32,38,46,49,11
3777,2022-06-27,21,24,27,32,34,38,41
3778,2022-06-30,2,15,17,27,41,48,38
3779,2022-07-04,2,3,9,27,28,38,15
3780,2022-07-07,16,17,20,33,39,49,7
3781,2022-07-11,1,6,13,25,34,43,42
3782,2022-07-14,8,10,15,36,39,44,9
3783,2022-07-18,3,20,36,41,43,47,9
3784,2022-07-21,4,15,31,42,43,47,39
3785,2022-07-25,2,6,29,30,31,44,40
3786,2022-07-28,1,2,25,33,36,40,7
3787,2022-08-01,3,10,12,29,45,47,26
3788,2022-08-05,14,18,24,37,43,45,8
3789,2022-08-08,2,9,33,34,37,49,29
3790,2022-08-11,10,12,16,18,32,44,22
3791,2022-08-15,7,22,29,34,38,41,35
3792,2022-08-18,2,4,12,18,28,43,38
3793,2022-08-22,5,20,23,36,42,44,47
3794,2022-08-25,3,5,13,23,24,48,10
3795,2022-08-29,4,8,9,15,22,31,13
3796,2022-09-01,1,18,28,42,43,48,45
3797,2022-09-05,4,9,13,18,34,47,3
3798,2022-09-08,1,8,11,12,22,46,35
3799,2022-09-12,8,15,21,22,39,43,44
3800,2022-09-15,13,15,27,29,38,45,40
3801,2022-09-19,1,5,14,23,40,45,16
3802,2022-09-22,3,11,19,26,43,49,37
3803,2022-09-26,6,19,24,34,43,46,21
3804,2022-09-29,27,29,31,44,46,49,42
3805,2022-10-03,7,16,20,29,33,42,39
